T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição
281402641,1390,1720,0,0,26.220922619
281404641,1473,1703,0,0,26.203125
281406641,1460,1729,0,0,26.203125
281408641,1563,1536,0,0,26.203125
281410641,1515,1662,0,0,26.203125
281412641,1461,1622,0,0,26.203125
281414641,1510,1613,0,0,26.203125
281416641,1597,1679,0,0,26.203125
281418641,1556,1489,0,0,26.21775
281420641,1520,1524,0,0,26.23725
281422641,1530,1691,0,0,26.24375
281424641,1563,1692,0,0,26.24375
281426641,1593,1748,0,0,26.24375
281428641,1662,1655,0,0,26.24375
281430641,1492,1729,0,0,26.24375
281432641,1552,1687,0,0,26.24375
281434641,1558,1728,0,0,26.241959005
281436641,1552,1745,0,0,26.237660618
281438641,1460,1705,0,0,26.234795027
281440641,1552,1727,0,0,26.234795027
281442641,1581,1686,0,0,26.234795027
281444641,1552,1833,0,0,26.234795027
281446641,1485,1729,0,0,26.234795027
281448641,1515,1751,0,0,26.234795027
281450641,1601,1819,0,0,26.234882392
281452641,1481,1688,0,0,26.23593078
281454641,1492,1626,0,0,26.236979167
281456641,1513,1601,0,0,26.245473485
281458641,1524,1658,0,0,26.253967803
281460641,1641,1694,0,0,26.254675663
281462641,1601,1611,0,0,26.254675663
281464641,1589,1716,0,0,26.254675663
281466641,1643,1560,0,0,26.254675663
281468641,1553,1676,0,0,26.254675663
281470641,1543,1776,0,0,26.254675663
281472641,1560,1795,0,0,26.253526673
281474641,1566,1614,0,0,26.251803188
281476641,1526,1598,0,0,26.251085069
281478641,1523,1741,0,0,26.251085069
281480641,1585,1787,0,0,26.251085069
281482641,1490,1565,0,0,26.251085069
281484641,1510,1801,0,0,26.251085069
281486641,1534,1773,0,0,26.251085069
281488641,1511,1645,0,0,26.252313485
281490641,1565,1581,0,0,26.255998733
281492641,1526,1666,0,0,26.258936173
281494641,1559,1712,0,0,26.259630189
281496641,1523,1699,0,0,26.260208536
281498641,1422,1825,0,0,26.260208536
281500641,1595,1653,0,0,26.260251584
281502641,1539,1721,0,0,26.260768153
281504641,1534,1718,0,0,26.261284722
281506641,1569,1743,0,0,26.261284722
281508641,1411,1752,0,0,26.261284722
281510641,1416,1704,0,0,26.261284722
281512641,1615,1701,0,0,26.261284722
281514641,1602,1546,0,0,26.262565104
281516641,1525,1786,0,0,26.264101562
281518641,1496,1671,0,0,26.265868056
281520641,1603,1745,0,0,26.267711227
281522641,1576,1688,0,0,26.267096836
281524641,1563,1589,0,0,26.265253665
281526641,1612,1666,0,0,26.266173595
281528641,1540,1754,0,0,26.269067168
281530641,1566,1620,0,0,26.270513954
281532641,1544,1649,0,0,26.270513954
281534641,1620,1813,0,0,26.270513954
281536641,1500,1713,0,0,26.270513954
281538641,1457,1657,0,0,26.26943094
281540641,1565,1732,0,0,26.266181899
281542641,1495,1551,0,0,26.263559351
281544641,1515,1706,0,0,26.262816287
281546641,1543,1616,0,0,26.262166148
281548641,1683,1641,0,0,26.261980641
281550641,1536,1696,0,0,26.261810593
281552641,1520,1772,0,0,26.261810593
281554641,1561,1582,0,0,26.261810593
281556641,1619,1717,0,0,26.261111747
281558641,1486,1670,0,0,26.2604129
281560641,1500,1773,0,0,26.250069444
281562641,1611,1617,0,0,26.238849206
281564641,1547,1852,0,0,23.12578125
281566641,1533,1534,0,0,19.39234375
281568641,1518,1605,0,0,17.9928125
281570641,1604,1704,0,0,17.37125
281572641,1612,1821,0,0,17.151188104
281574641,1551,1612,0,0,17.13187651
281576641,1499,1835,0,0,17.088150664
281578641,1504,1845,0,0,17.026986068
281580641,1548,1741,0,0,16.992891865
281582641,1610,1666,0,0,16.985868056
281584641,1578,1794,0,0,16.981770833
281586641,1548,1692,0,0,16.981770833
281588641,1605,1739,0,0,16.984112103
281590641,1488,1769,0,0,16.991135913
281592641,1461,1753,0,0,17.011694919
281594641,1576,1745,0,0,17.072859515
281596641,1550,1718,0,0,17.135173611
281598641,1508,1544,0,0,17.203235205
281600641,1502,1690,0,0,17.291042352
281602641,1610,1757,0,0,17.596050576
281604641,1536,1754,0,0,17.901058799
281606641,1602,1700,0,0,18.157800576
281608641,1515,1602,0,0,18.414542352
281610641,1514,1672,0,0,18.590319444
281612641,1522,1796,0,0,18.758736111
281614641,1564,1648,0,0,18.786805556
281616641,1589,1731,0,0,18.786805556
281618641,1460,1633,0,0,18.786805556
281620641,1569,1773,0,0,18.786805556
281622641,1620,1821,0,0,18.786805556
281624641,1503,1814,0,0,18.786805556
281626641,1472,1808,0,0,18.779854167
281628641,1507,1560,0,0,18.7679375
281630641,1565,1701,0,0,18.630354167
281632641,1531,1743,0,0,18.367104167
281634641,1682,1629,0,0,18.096590909
281636641,1590,1755,0,0,17.815909091
281638641,1505,1681,0,0,17.518320707
281640641,1585,1744,0,0,17.186919192
281642641,1542,1582,0,0,16.893803662
281644641,1698,1703,0,0,16.715546086
281646641,1531,1777,0,0,16.562124369
281648641,1520,1649,0,0,16.532881944
281650641,1581,1752,0,0,16.501735138
281652641,1572,1751,0,0,16.449640122
281654641,1561,1759,0,0,16.397545106
281656641,1561,1717,0,0,16.340136154
281658641,1615,1661,0,0,16.282727201
281660641,1598,1649,0,0,16.277943122
281662641,1516,1687,0,0,16.277943122
281664641,1553,1734,0,0,16.277943122
281666641,1621,1628,0,0,16.277943122
281668641,1601,1728,0,0,16.277943122
281670641,1526,1630,0,0,16.277943122
281672641,1513,1665,0,0,16.316171462
281674641,1633,1589,0,0,16.373513972
281676641,1565,1593,0,0,16.397406684
281678641,1581,1769,0,0,16.397406684
281680641,1555,1600,0,0,16.397406684
281682641,1562,1662,0,0,16.397406684
281684641,1561,1769,0,0,16.397406684
281686641,1548,1692,0,0,16.397406684
281688641,1458,1665,0,0,16.395842827
281690641,1552,1781,0,0,16.391151255
281692641,1597,1733,0,0,16.342272917
281694641,1597,1663,0,0,16.16083428
281696641,1617,1660,0,0,15.996342564
281698641,1537,1666,0,0,15.916585451
281700641,1593,1733,0,0,15.841276583
281702641,1601,1724,0,0,15.814898423
281704641,1576,1771,0,0,15.788520263
281706641,1665,1741,0,0,15.783238341
281708641,1577,1717,0,0,15.777956418
281710641,1492,1794,0,0,15.749548825
281712641,1589,1743,0,0,15.719038897
281714641,1598,1679,0,0,15.713953909
281716641,1580,1633,0,0,15.713953909
281718641,1528,1662,0,0,15.713953909
281720641,1589,1794,0,0,15.713953909
281722641,1619,1789,0,0,15.710974247
281724641,1624,1633,0,0,15.706504754
281726641,1592,1705,0,0,15.703602341
281728641,1655,1691,0,0,15.70181927
281730641,1610,1653,0,0,15.700922326
281732641,1516,1743,0,0,15.700911508
281734641,1645,1685,0,0,15.700905198
281736641,1529,1734,0,0,15.700905198
281738641,1594,1801,0,0,15.700908803
281740641,1618,1812,0,0,15.700919621
281742641,1589,1606,0,0,15.701373502
281744641,1601,1589,0,0,15.703156573
281746641,1520,1641,0,0,15.704697756
281748641,1609,1791,0,0,15.705029499
281750641,1628,1829,0,0,15.705333597
281752641,1515,1828,0,0,15.705333597
281754641,1474,1871,0,0,15.705333597
281756641,1617,1717,0,0,15.705333597
281758641,1627,1747,0,0,15.705333597
281760641,1525,1720,0,0,15.705333597
281762641,1647,1662,0,0,15.705333597
281764641,1589,1725,0,0,15.703446471
281766641,1512,1614,0,0,15.70118192
281768641,1529,1794,0,0,15.700615782
281770641,1595,1633,0,0,15.700615782
281772641,1564,1726,0,0,15.700615782
281774641,1513,1679,0,0,15.700615782
281776641,1529,1577,0,0,15.700615782
281778641,1602,1737,0,0,15.700615782
281780641,1556,1645,0,0,15.700658535
281782641,1562,1662,0,0,15.700744041
281784641,1504,1677,0,0,15.701662966
