frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
150,8.865264580919273,8.865264580919273,519.0,172.0,59.0,460.0,113.0,578.0,231.0,0.6093814618846304,True,hough,157,44,472,359,16.919968787264995,1.0
151,8.92436634479207,8.92436634479207,522.0,169.0,55.0,467.0,114.0,577.0,224.0,0.6363289549589259,True,hough,157,44,472,359,16.919968787264995,1.0
152,8.983468108664864,8.983468108664864,506.0,186.0,74.0,432.0,112.0,580.0,260.0,0.5166934208903207,True,hough,157,44,472,359,16.919968787264995,1.0
153,9.042569872537658,9.042569872537658,506.0,186.0,74.0,432.0,112.0,580.0,260.0,0.5163005498176201,True,hough,157,44,472,359,16.919968787264995,1.0
154,9.101671636410455,9.101671636410455,524.0,168.0,54.0,470.0,114.0,578.0,222.0,0.6424136236371931,True,hough,157,44,472,359,16.919968787264995,1.0
155,9.160773400283249,9.160773400283249,524.0,168.0,54.0,470.0,114.0,578.0,222.0,0.6422085453237463,True,hough,157,44,472,359,16.919968787264995,1.0
156,9.219875164156045,9.219875164156045,504.0,185.0,72.0,432.0,113.0,576.0,257.0,0.5336289007151337,True,hough,157,44,472,359,16.919968787264995,1.0
157,9.27897692802884,9.27897692802884,524.0,168.0,54.0,470.0,114.0,578.0,222.0,0.6423539880278919,True,hough,157,44,472,359,16.919968787264995,1.0
158,9.338078691901634,9.338078691901634,503.0,186.0,74.0,429.0,112.0,577.0,260.0,0.5170324254213483,True,hough,157,44,472,359,16.919968787264995,1.0
159,9.39718045577443,9.39718045577443,506.0,185.0,72.0,434.0,113.0,578.0,257.0,0.5315757756660869,True,hough,157,44,472,359,16.919968787264995,1.0
160,9.456282219647225,9.456282219647225,510.0,183.0,74.0,436.0,109.0,584.0,257.0,0.508758053612484,True,hough,157,44,472,359,16.919968787264995,1.0
161,9.515383983520021,9.515383983520021,506.0,185.0,72.0,434.0,113.0,578.0,257.0,0.5296720938682646,True,hough,157,44,472,359,16.919968787264995,1.0
162,9.574485747392815,9.574485747392815,506.0,185.0,72.0,434.0,113.0,578.0,257.0,0.5295919242781085,True,hough,157,44,472,359,16.919968787264995,1.0
163,9.633587511265612,9.633587511265612,509.0,183.0,74.0,435.0,109.0,583.0,257.0,0.5095795219369161,True,hough,157,44,472,359,16.919968787264995,1.0
