T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição,tempo_video_ms,posicao_video_valida,tracking_interp_gap_ms,sync_pair_index,sync_fit_residual_ms
1236699258,1384,1223,255,0,10.790980887,4776.683147262,1,4.166666667,,
1236701258,1371,1208,255,0,10.793155761,4778.682881446,1,4.166666667,,
1236703258,1385,1185,255,0,10.805900098,4780.68261563,1,4.166666667,,
1236705258,1371,1167,255,0,10.82201747,4782.682349814,1,4.166666667,,
1236707258,1364,1155,255,0,10.828058426,4784.682083998,1,4.166666667,,
1236709258,1364,1150,255,0,10.829235932,4786.681818182,1,4.166666667,,
1236711258,1368,1126,255,0,10.841585477,4788.681552366,1,4.166666667,,
1236713258,1358,1118,255,0,10.861671251,4790.68128655,1,4.166666667,,
1236715258,1363,1103,255,0,10.872421425,4792.681020734,1,4.166666667,,
1236717258,1352,1103,255,0,10.87410266,4794.680754918,1,4.166666667,,
1236719258,1358,1081,255,0,10.878925061,4796.680489102,1,4.166666667,,
1236721258,1356,1077,255,0,10.888021105,4798.680223285,1,4.166666667,,
1236723258,1351,1066,255,0,10.899000504,4800.679957469,1,4.166666667,,
1236725258,1359,1059,255,0,10.913635438,4802.679691653,1,4.166666667,,
1236727258,1347,1053,255,0,10.928011186,4804.679425837,1,4.166666667,,
1236729258,1335,1043,255,0,10.94163531,4806.679160021,1,4.166666667,,
1236731258,1339,1043,255,0,10.955924068,4808.678894205,1,4.166666667,,
1236733258,1338,1047,255,0,10.973394382,4810.678628389,1,4.166666667,,
1236735258,1336,1043,255,0,10.991722713,4812.678362573,1,4.166666667,,
1236737258,1337,1036,255,0,11.018812794,4814.678096757,1,4.166666667,,
1236739258,1338,1031,255,0,11.04591457,4816.677830941,1,4.166666667,,
1236741258,1344,1032,255,0,11.075099464,4818.677565125,1,4.166666667,,
1236743258,1333,1025,255,0,11.104284358,4820.677299309,1,4.166666667,,
1236745258,1337,1023,255,0,11.138800442,4822.677033493,1,4.166666667,,
1236747258,1333,1025,255,0,11.173767709,4824.676767677,1,4.166666667,,
1236749258,1335,1020,255,0,11.21870292,4826.676501861,1,4.166666667,,
1236751258,1345,1013,255,0,11.265559968,4828.676236045,1,4.166666667,,
1236753258,1340,1010,255,0,11.307538472,4830.675970229,1,4.166666667,,
1236755258,1336,1011,255,0,11.347931749,4832.675704413,1,4.166666667,,
1236757258,1325,1005,255,0,11.416022995,4834.675438596,1,4.166666667,,
1236759258,1331,1004,255,0,11.497686192,4836.67517278,1,4.166666667,,
1236761258,1341,1009,255,0,11.59719941,4838.674906964,1,4.166666667,,
1236763258,1340,1003,255,0,11.70924399,4840.674641148,1,4.166666667,,
1236765258,1333,1003,255,0,11.823468684,4842.674375332,1,4.166666667,,
1236767258,1337,1009,255,0,11.939839562,4844.674109516,1,4.166666667,,
1236769258,1332,1009,255,0,12.07127183,4846.6738437,1,4.166666667,,
1236771258,1333,1000,255,0,12.223476621,4848.673577884,1,4.166666667,,
1236773258,1333,1000,255,0,12.402864852,4850.673312068,1,4.166666667,,
1236775258,1333,1001,255,0,12.635804349,4852.673046252,1,4.166666667,,
1236777258,1329,1000,255,0,12.849312854,4854.672780436,1,4.166666667,,
1236779258,1320,999,255,0,13.005477479,4856.67251462,1,4.166666667,,
1236781258,1320,999,255,0,13.186765077,4858.672248804,1,4.166666667,,
1236783258,1316,993,255,0,13.491165098,4860.671982988,1,4.166666667,,
1236785258,1306,1002,255,0,13.803904671,4862.671717172,1,4.166666667,,
1236787258,1296,993,255,0,14.205423038,4864.671451356,1,4.166666667,,
1236789258,1288,998,255,0,14.606978449,4866.67118554,1,4.166666667,,
1236791258,1273,995,255,0,15.024889284,4868.670919724,1,4.166666667,,
1236793258,1264,986,255,0,15.44280012,4870.670653907,1,4.166666667,,
1236795258,1245,984,255,0,16.111145601,4872.670388091,1,4.166666667,,
1236797258,1241,984,255,0,16.801668192,4874.670122275,1,4.166666667,,
1236799258,1214,980,255,0,19.130047117,4876.669856459,1,4.166666667,,
1236801258,1202,973,255,0,21.781982189,4878.669590643,1,4.166666667,,
1236803258,1184,975,255,0,22.482402801,4880.669324827,1,4.166666667,,
1236805258,1155,990,255,0,22.537266712,4882.669059011,1,4.166666667,,
1236807258,1110,1243,255,0,22.959838228,4884.668793195,1,4.166666667,,
1236809258,1100,1275,255,0,23.565312073,4886.668527379,1,4.166666667,,
1236811258,1097,1276,255,0,23.819826927,4888.668261563,1,4.166666667,,
1236813258,1100,1276,255,0,23.824557999,4890.667995747,1,4.166666667,,
1236815258,1097,1278,255,0,23.826920705,4892.667729931,1,4.166666667,,
1236817258,1091,1274,255,0,23.826920705,4894.667464115,1,4.166666667,,
1236819258,1095,1270,255,0,23.826920705,4896.667198299,1,4.166666667,,
1236821258,1095,1269,0,0,23.826920705,4898.666932483,1,4.166666667,,
1236823258,1117,1319,0,0,23.826920705,4900.666666667,1,4.166666667,,
1236825258,1143,1344,0,0,23.826920705,4902.666400851,1,4.166666667,,
1236827258,1177,1370,0,0,23.826108935,4904.666135035,1,4.166666667,,
1236829258,1195,1408,0,0,23.822858828,4906.665869219,1,4.166666667,,
1236831258,1218,1423,0,0,23.815867422,4908.665603402,1,4.166666667,,
1236833258,1233,1444,0,0,23.790100682,4910.665337586,1,4.166666667,,
1236835258,1256,1469,0,0,23.766460905,4912.66507177,1,4.166666667,,
1236837258,1277,1492,0,0,23.766460905,4914.664805954,1,4.166666667,,
1236839258,1284,1505,0,0,23.766460905,4916.664540138,1,4.166666667,,
1236841258,1299,1524,0,0,23.766460905,4918.664274322,1,4.166666667,,
1236843258,1316,1536,0,0,23.766460905,4920.664008506,1,4.166666667,,
1236845258,1321,1549,0,0,23.766460905,4922.66374269,1,4.166666667,,
1236847258,1337,1564,0,0,23.766460905,4924.663476874,1,4.166666667,,
1236849258,1351,1573,0,0,23.776196186,4926.663211058,1,4.166666667,,
1236851258,1369,1581,0,0,23.787901238,4928.662945242,1,4.166666667,,
1236853258,1371,1603,0,0,23.790849673,4930.662679426,1,4.166666667,,
1236855258,1386,1597,0,0,23.790849673,4932.66241361,1,4.166666667,,
1236857258,1371,1610,0,0,23.790849673,4934.662147794,1,4.166666667,,
1236859258,1396,1619,0,0,23.790849673,4936.661881978,1,4.166666667,,
1236861258,1412,1626,0,0,23.790849673,4938.661616162,1,4.166666667,,
1236863258,1417,1638,0,0,23.790849673,4940.661350346,1,4.166666667,,
1236865258,1420,1641,0,0,23.790551463,4942.66108453,1,4.166666667,,
1236867258,1427,1645,0,0,23.789951773,4944.660818713,1,4.166666667,,
1236869258,1424,1655,0,0,23.787954789,4946.660552897,1,4.166666667,,
1236871258,1432,1662,0,0,23.783977255,4948.660287081,1,4.166666667,,
1236873258,1434,1661,0,0,23.772011794,4950.660021265,1,4.166666667,,
1236875258,1440,1654,0,0,23.743832416,4952.659755449,1,4.166666667,,
1236877258,1448,1672,0,0,23.722597683,4954.659489633,1,4.166666667,,
1236879258,1452,1673,0,0,23.722597683,4956.659223817,1,4.166666667,,
1236881258,1460,1681,0,0,23.722597683,4958.658958001,1,4.166666667,,
1236883258,1460,1680,0,0,23.722597683,4960.658692185,1,4.166666667,,
1236885258,1460,1689,0,0,23.722597683,4962.658426369,1,4.166666667,,
1236887258,1460,1683,0,0,23.722597683,4964.658160553,1,4.166666667,,
1236889258,1466,1685,0,0,23.722597683,4966.657894737,1,4.166666667,,
1236891258,1469,1692,0,0,23.730167015,4968.657628921,1,4.166666667,,
1236893258,1472,1697,0,0,23.737769697,4970.657363105,1,4.166666667,,
1236895258,1476,1697,0,0,23.738438709,4972.657097289,1,4.166666667,,
1236897258,1476,1696,0,0,23.738438709,4974.656831473,1,4.166666667,,
1236899258,1475,1701,0,0,23.738438709,4976.656565657,1,4.166666667,,
1236901258,1478,1703,0,0,23.738438709,4978.656299841,1,4.166666667,,
1236903258,1479,1707,0,0,23.738438709,4980.656034024,1,4.166666667,,
1236905258,1487,1704,0,0,23.738438709,4982.655768208,1,4.166666667,,
1236907258,1485,1702,0,0,23.729987461,4984.655502392,1,4.166666667,,
1236909258,1486,1704,0,0,23.717205247,4986.655236576,1,4.166666667,,
1236911258,1483,1702,0,0,23.686205266,4988.65497076,1,4.166666667,,
1236913258,1476,1700,0,0,23.641880529,4990.654704944,1,4.166666667,,
1236915258,1485,1704,0,0,23.579511747,4992.654439128,1,4.166666667,,
1236917258,1487,1701,0,0,23.498657045,4994.654173312,1,4.166666667,,
1236919258,1489,1703,0,0,23.27792308,4996.653907496,1,4.166666667,,
1236921258,1488,1699,0,0,22.856183474,4998.65364168,1,4.166666667,,
1236923258,1492,1705,0,0,22.548817684,5000.653375864,1,4.166666667,,
1236925258,1489,1696,0,0,22.477132683,5002.653110048,1,4.166666667,,
